investor_id,transaction_date,amfi_code,transaction_type,amount_inr,state,city,city_tier,age_group,gender,annual_income_lakh,payment_mode,kyc_status
INV001888,2024-01-02,120505,Redemption,410786,Delhi,New Delhi,T30,18-25,Female,6.4,UPI,Verified
INV002981,2024-01-02,102886,Lumpsum,100110,Maharashtra,Mumbai,T30,18-25,Female,7.3,Mandate,Verified
INV003027,2024-01-02,148569,Lumpsum,330642,Telangana,Hyderabad,T30,26-35,Male,20.8,Cheque,Verified
INV001106,2024-01-02,118636,Lumpsum,50410,Tamil Nadu,Chennai,T30,26-35,Male,13.1,Net Banking,Verified
INV000339,2024-01-02,101207,Redemption,383487,Uttar Pradesh,Kanpur,B30,26-35,Male,22.3,Cheque,Verified
INV002976,2024-01-02,119599,Lumpsum,234926,Tamil Nadu,Coimbatore,B30,26-35,Male,23.7,Mandate,Verified
INV000349,2024-01-02,120505,Redemption,335222,Maharashtra,Mumbai,T30,18-25,Female,3.8,Mandate,Verified
INV002546,2024-01-02,101208,Redemption,22305,Gujarat,Surat,T30,26-35,Male,19.3,UPI,Verified
INV003505,2024-01-02,120843,Lumpsum,362856,West Bengal,Kolkata,T30,56+,Female,53.5,Net Banking,Verified
INV001284,2024-01-02,119092,Lumpsum,6499,West Bengal,Kolkata,T30,36-45,Male,49.0,Cheque,Verified
INV004658,2024-01-02,120842,Lumpsum,17258,Punjab,Chandigarh,T30,56+,Male,48.7,Cheque,Verified
INV004656,2024-01-02,120844,Lumpsum,357937,Haryana,Gurugram,T30,18-25,Male,4.7,Mandate,Verified
INV003649,2024-01-02,119598,Redemption,483596,Haryana,Gurugram,T30,46-55,Female,79.9,Cheque,Verified
INV004582,2024-01-02,149323,Lumpsum,249744,Tamil Nadu,Chennai,T30,56+,Male,67.1,Net Banking,Verified
INV001799,2024-01-02,119120,Lumpsum,116421,Rajasthan,Udaipur,B30,56+,Female,45.2,Cheque,Verified
INV001506,2024-01-02,119552,Lumpsum,19502,Delhi,Noida,T30,26-35,Female,16.0,UPI,Verified
INV001328,2024-01-02,120842,Redemption,484947,Uttar Pradesh,Lucknow,T30,26-35,Male,7.4,Net Banking,Verified
INV002374,2024-01-02,118634,Redemption,81173,Uttar Pradesh,Kanpur,B30,26-35,Female,8.6,Net Banking,Verified
INV002888,2024-01-03,100025,Redemption,259110,Rajasthan,Udaipur,B30,26-35,Male,9.2,Net Banking,Pending
INV003178,2024-01-03,119094,Lumpsum,118897,Telangana,Hyderabad,T30,46-55,Female,60.9,Cheque,Verified
INV002599,2024-01-03,100025,Lumpsum,286111,Gujarat,Surat,T30,26-35,Male,11.4,Net Banking,Verified
INV003626,2024-01-03,125497,Redemption,483044,Madhya Pradesh,Indore,T30,26-35,Male,23.5,Net Banking,Verified
INV000690,2024-01-03,148569,Lumpsum,173646,Delhi,Gurugram,T30,46-55,Male,98.7,UPI,Verified
INV002708,2024-01-03,120504,Redemption,205486,Karnataka,Mysore,B30,26-35,Male,14.0,Mandate,Verified
INV004288,2024-01-03,119120,Lumpsum,95676,Punjab,Amritsar,B30,18-25,Female,6.1,Mandate,Verified
INV000747,2024-01-03,120841,Lumpsum,374549,West Bengal,Kolkata,T30,36-45,Female,40.3,Mandate,Verified
INV001350,2024-01-03,125498,Lumpsum,83480,Madhya Pradesh,Bhopal,B30,46-55,Female,31.7,Net Banking,Verified
INV002059,2024-01-03,101208,Lumpsum,268619,Haryana,Faridabad,B30,46-55,Male,95.1,Net Banking,Verified
INV000595,2024-01-03,102887,Lumpsum,124825,Gujarat,Surat,T30,18-25,Male,7.6,Cheque,Verified
INV002865,2024-01-03,148569,Redemption,449863,Maharashtra,Pune,T30,18-25,Male,3.3,UPI,Verified
INV002414,2024-01-03,120507,Lumpsum,396379,Gujarat,Surat,T30,26-35,Female,24.1,UPI,Verified
INV004544,2024-01-03,148567,Redemption,410715,Maharashtra,Mumbai,T30,36-45,Male,52.1,Cheque,Verified
INV000527,2024-01-03,119094,Lumpsum,114021,Telangana,Hyderabad,T30,26-35,Male,12.1,Mandate,Verified
INV004633,2024-01-03,125498,Lumpsum,296354,Telangana,Hyderabad,T30,18-25,Female,4.9,Net Banking,Verified
INV003737,2024-01-03,119093,Lumpsum,126721,Punjab,Chandigarh,T30,18-25,Male,4.4,Net Banking,Verified
INV000679,2024-01-03,149323,Redemption,141968,Haryana,Faridabad,B30,46-55,Female,79.1,UPI,Verified
INV004941,2024-01-03,120505,Lumpsum,310085,Maharashtra,Nashik,B30,26-35,Male,11.0,Net Banking,Verified
INV000632,2024-01-03,120844,Lumpsum,246606,Delhi,Gurugram,T30,36-45,Male,49.1,UPI,Verified
INV000849,2024-01-03,148567,Lumpsum,254442,Delhi,Gurugram,T30,56+,Female,32.5,Cheque,Verified
INV002101,2024-01-03,102887,Redemption,234810,Uttar Pradesh,Lucknow,T30,26-35,Male,14.7,Mandate,Verified
INV000947,2024-01-03,101208,Redemption,281989,Delhi,Noida,T30,26-35,Male,11.0,UPI,Verified
INV004867,2024-01-03,100033,Lumpsum,331777,Karnataka,Bangalore,T30,18-25,Male,7.3,Mandate,Verified
INV001910,2024-01-03,102886,Redemption,502057,Karnataka,Mysore,B30,26-35,Female,15.2,Mandate,Verified
INV003100,2024-01-04,149324,Lumpsum,361700,Telangana,Hyderabad,T30,26-35,Male,16.5,Net Banking,Verified
INV000215,2024-01-04,120505,Lumpsum,190843,Maharashtra,Nashik,B30,26-35,Female,18.3,Mandate,Verified
INV003191,2024-01-04,119092,Lumpsum,94475,Madhya Pradesh,Bhopal,B30,18-25,Female,6.8,Mandate,Verified
INV003946,2024-01-04,120504,Lumpsum,465127,Karnataka,Mysore,B30,26-35,Female,9.2,Net Banking,Verified
INV004797,2024-01-04,125497,Lumpsum,178854,Gujarat,Ahmedabad,T30,56+,Male,18.9,Net Banking,Verified
INV000330,2024-01-04,120841,Lumpsum,351770,Madhya Pradesh,Bhopal,B30,26-35,Female,11.9,Net Banking,Verified
INV001128,2024-01-04,120844,Lumpsum,168521,West Bengal,Kolkata,T30,36-45,Female,43.2,Cheque,Verified
INV002302,2024-01-04,125498,Lumpsum,153713,West Bengal,Kolkata,T30,26-35,Male,10.1,UPI,Verified
INV002158,2024-01-04,120507,Lumpsum,39096,Madhya Pradesh,Indore,T30,26-35,Male,14.5,Net Banking,Verified
INV004563,2024-01-04,118634,Lumpsum,38117,Gujarat,Surat,T30,46-55,Female,32.2,Cheque,Verified
INV002912,2024-01-04,149323,Redemption,520148,Maharashtra,Mumbai,T30,26-35,Female,23.6,Net Banking,Verified
INV004688,2024-01-04,120505,Lumpsum,168104,West Bengal,Kolkata,T30,26-35,Male,20.7,UPI,Verified
INV000544,2024-01-04,120507,Lumpsum,295246,Madhya Pradesh,Bhopal,B30,18-25,Male,3.6,Mandate,Verified
INV000372,2024-01-04,148569,Lumpsum,209421,Gujarat,Surat,T30,36-45,Male,12.4,Cheque,Verified
INV003040,2024-01-04,119598,Lumpsum,468352,Karnataka,Bangalore,T30,26-35,Female,15.3,Cheque,Verified
INV003083,2024-01-04,125497,Lumpsum,201815,Madhya Pradesh,Bhopal,B30,56+,Female,41.3,UPI,Verified
INV004896,2024-01-04,148567,Lumpsum,22023,Uttar Pradesh,Agra,B30,18-25,Female,3.5,Mandate,Verified
INV004593,2024-01-04,120506,Lumpsum,65501,Punjab,Amritsar,B30,26-35,Male,13.7,Net Banking,Verified
INV004353,2024-01-04,120844,Lumpsum,20266,Uttar Pradesh,Agra,B30,56+,Male,31.2,UPI,Verified
INV001553,2024-01-04,120844,Redemption,125745,Delhi,Noida,T30,26-35,Male,23.5,Cheque,Verified
INV003579,2024-01-04,119599,Lumpsum,518933,West Bengal,Kolkata,T30,18-25,Male,4.6,Net Banking,Verified
INV003409,2024-01-04,125497,Redemption,255163,Karnataka,Mysore,B30,46-55,Male,44.2,Net Banking,Verified
INV000639,2024-01-04,149322,Lumpsum,286253,Tamil Nadu,Coimbatore,B30,18-25,Female,3.6,UPI,Verified
INV003342,2024-01-04,100025,Redemption,345140,Tamil Nadu,Chennai,T30,56+,Male,32.8,Cheque,Verified
INV002659,2024-01-04,125497,Redemption,218077,Madhya Pradesh,Bhopal,B30,36-45,Female,56.5,Mandate,Verified
INV004919,2024-01-05,100033,Lumpsum,243656,Telangana,Hyderabad,T30,26-35,Male,6.6,Cheque,Verified
INV002656,2024-01-05,118636,Lumpsum,265566,Tamil Nadu,Coimbatore,B30,26-35,Male,9.6,Mandate,Verified
INV003846,2024-01-05,102886,Redemption,8986,Uttar Pradesh,Agra,B30,46-55,Female,44.2,Mandate,Verified
INV004400,2024-01-05,120841,Lumpsum,522907,Uttar Pradesh,Agra,B30,26-35,Male,19.5,Cheque,Verified
INV003516,2024-01-05,118635,Lumpsum,363022,Delhi,Gurugram,T30,36-45,Female,14.0,Mandate,Verified
INV003251,2024-01-05,149324,Lumpsum,341468,Tamil Nadu,Coimbatore,B30,36-45,Female,52.4,Net Banking,Verified
INV004998,2024-01-05,120844,Lumpsum,295114,Gujarat,Ahmedabad,T30,36-45,Male,24.2,Net Banking,Verified
INV004478,2024-01-05,101206,Redemption,308976,Delhi,New Delhi,T30,26-35,Male,13.8,Mandate,Verified
INV003076,2024-01-05,120507,Redemption,197940,Haryana,Gurugram,T30,26-35,Male,20.2,UPI,Verified
INV003427,2024-01-05,118633,Redemption,193289,West Bengal,Kolkata,T30,18-25,Male,4.4,UPI,Verified
INV003505,2024-01-05,148568,Redemption,13457,West Bengal,Kolkata,T30,56+,Female,53.5,UPI,Verified
INV001811,2024-01-05,119552,Lumpsum,48636,Punjab,Amritsar,B30,18-25,Male,7.8,Net Banking,Verified
INV000762,2024-01-05,101208,Lumpsum,141489,Delhi,Gurugram,T30,36-45,Female,29.8,Net Banking,Verified
INV000642,2024-01-05,119092,Redemption,413094,Gujarat,Surat,T30,26-35,Male,15.6,Mandate,Verified
INV001027,2024-01-05,119552,Redemption,347503,West Bengal,Kolkata,T30,46-55,Female,62.7,Net Banking,Verified
INV000058,2024-01-05,120841,Lumpsum,248336,Maharashtra,Mumbai,T30,26-35,Male,19.9,Net Banking,Verified
INV004257,2024-01-05,119094,Redemption,301471,Telangana,Hyderabad,T30,36-45,Male,22.0,Mandate,Pending
INV004889,2024-01-05,149323,Lumpsum,330076,Rajasthan,Jaipur,T30,46-55,Male,34.5,Mandate,Verified
INV001269,2024-01-05,100033,Lumpsum,432672,Maharashtra,Mumbai,T30,26-35,Male,14.4,UPI,Pending
INV003937,2024-01-05,102885,Lumpsum,451983,Maharashtra,Nashik,B30,56+,Male,31.8,Net Banking,Verified
INV004902,2024-01-05,119552,Lumpsum,25230,Rajasthan,Jaipur,T30,18-25,Female,6.1,Mandate,Verified
INV003216,2024-01-05,119551,Lumpsum,59528,Delhi,New Delhi,T30,36-45,Male,12.6,UPI,Verified
INV001629,2024-01-05,118634,Lumpsum,26213,Madhya Pradesh,Indore,T30,26-35,Male,15.0,Cheque,Verified
INV002611,2024-01-05,120507,Redemption,373343,West Bengal,Kolkata,T30,26-35,Male,21.5,Net Banking,Verified
INV004340,2024-01-05,102885,Redemption,151645,Karnataka,Mysore,B30,26-35,Male,17.9,Cheque,Verified
INV004291,2024-01-05,149323,Redemption,402785,Telangana,Hyderabad,T30,56+,Female,30.4,Net Banking,Verified
INV002154,2024-01-05,149324,Redemption,188124,Uttar Pradesh,Lucknow,T30,36-45,Male,40.5,Mandate,Verified
INV004414,2024-01-05,118635,Redemption,294110,Uttar Pradesh,Lucknow,T30,26-35,Male,6.6,Mandate,Verified
INV000065,2024-01-05,149322,Redemption,89612,Maharashtra,Mumbai,T30,46-55,Female,43.2,UPI,Verified
INV003211,2024-01-05,101206,Lumpsum,405816,Uttar Pradesh,Lucknow,T30,36-45,Male,55.1,Cheque,Verified
INV004472,2024-01-05,120843,Lumpsum,331877,West Bengal,Kolkata,T30,26-35,Female,19.1,Net Banking,Verified
INV000797,2024-01-05,118636,Redemption,372649,Rajasthan,Jaipur,T30,36-45,Female,53.7,Mandate,Verified
INV003744,2024-01-06,118632,Lumpsum,123594,Karnataka,Mysore,B30,18-25,Female,4.1,Net Banking,Verified
INV002796,2024-01-06,101207,Lumpsum,115644,Telangana,Hyderabad,T30,36-45,Male,48.8,UPI,Pending
INV001058,2024-01-06,119598,Lumpsum,33691,Uttar Pradesh,Kanpur,B30,36-45,Male,28.2,Cheque,Verified
INV003876,2024-01-06,100033,Redemption,237658,Rajasthan,Udaipur,B30,18-25,Male,5.6,Net Banking,Verified
INV003022,2024-01-06,101207,Lumpsum,445481,Telangana,Hyderabad,T30,46-55,Male,60.2,Mandate,Verified
INV002250,2024-01-06,102887,Lumpsum,554938,Telangana,Hyderabad,T30,36-45,Male,20.4,Mandate,Verified
INV004594,2024-01-06,149322,Lumpsum,119338,Haryana,Gurugram,T30,26-35,Female,9.8,Cheque,Verified
INV001283,2024-01-06,119599,Lumpsum,33527,Telangana,Hyderabad,T30,18-25,Male,4.6,Cheque,Pending
INV003143,2024-01-06,120843,Lumpsum,249341,Karnataka,Mysore,B30,18-25,Female,5.9,Cheque,Verified
INV003696,2024-01-06,120504,Lumpsum,401559,Tamil Nadu,Coimbatore,B30,18-25,Female,4.0,Net Banking,Verified
INV000783,2024-01-06,148569,Lumpsum,60606,Gujarat,Ahmedabad,T30,46-55,Male,92.0,Cheque,Pending
INV000783,2024-01-06,100033,Lumpsum,330093,Gujarat,Ahmedabad,T30,46-55,Male,92.0,Cheque,Verified
INV000126,2024-01-06,101207,Lumpsum,151709,Maharashtra,Mumbai,T30,26-35,Male,19.4,Mandate,Pending
INV001131,2024-01-06,120505,Lumpsum,513257,Tamil Nadu,Coimbatore,B30,36-45,Female,32.0,Mandate,Verified
INV004811,2024-01-06,120841,Redemption,39649,Punjab,Amritsar,B30,26-35,Female,9.4,UPI,Verified
INV004230,2024-01-06,120841,Lumpsum,31627,Karnataka,Bangalore,T30,18-25,Female,7.4,Cheque,Verified
INV002658,2024-01-06,120503,Lumpsum,41413,Madhya Pradesh,Indore,T30,26-35,Female,16.8,Net Banking,Verified
INV001953,2024-01-06,101208,Lumpsum,420171,Haryana,Faridabad,B30,46-55,Male,55.0,Net Banking,Verified
INV002565,2024-01-06,119599,Lumpsum,63809,Rajasthan,Jaipur,T30,26-35,Male,10.0,Mandate,Verified
INV001770,2024-01-06,118636,Lumpsum,138095,Telangana,Hyderabad,T30,18-25,Male,6.3,Cheque,Verified
INV004832,2024-01-06,119551,Redemption,359828,Uttar Pradesh,Kanpur,B30,18-25,Male,3.8,Net Banking,Verified
INV001656,2024-01-06,119120,Redemption,357463,Madhya Pradesh,Bhopal,B30,26-35,Male,19.4,Mandate,Verified
INV000182,2024-01-06,120842,Redemption,309923,Tamil Nadu,Chennai,T30,36-45,Male,38.1,Net Banking,Verified
INV003894,2024-01-06,119552,Lumpsum,404974,Tamil Nadu,Coimbatore,B30,26-35,Male,14.9,Mandate,Verified
INV001720,2024-01-06,119094,Redemption,197973,Karnataka,Mysore,B30,36-45,Male,43.6,Mandate,Verified
INV000408,2024-01-07,120843,Redemption,118820,Punjab,Amritsar,B30,56+,Male,62.3,Net Banking,Verified
INV000231,2024-01-07,119095,Redemption,221924,Rajasthan,Udaipur,B30,26-35,Female,22.9,Cheque,Verified
INV000894,2024-01-07,100033,Redemption,219820,Tamil Nadu,Coimbatore,B30,36-45,Female,32.0,Net Banking,Verified
INV000962,2024-01-07,120842,Lumpsum,422124,Punjab,Chandigarh,T30,26-35,Male,24.5,Cheque,Verified
INV003085,2024-01-07,119092,Redemption,181536,Delhi,Gurugram,T30,36-45,Female,29.2,UPI,Verified
INV004132,2024-01-07,119094,Lumpsum,263193,Rajasthan,Jaipur,T30,18-25,Male,6.3,Net Banking,Verified
INV004119,2024-01-07,119551,Redemption,376569,Uttar Pradesh,Kanpur,B30,26-35,Female,13.0,UPI,Verified
INV000667,2024-01-07,101208,Lumpsum,390649,Telangana,Hyderabad,T30,26-35,Male,7.5,Mandate,Verified
INV001689,2024-01-07,120505,Lumpsum,473543,Haryana,Faridabad,B30,36-45,Male,40.4,Cheque,Verified
INV001274,2024-01-07,119092,Lumpsum,136990,Maharashtra,Mumbai,T30,36-45,Female,55.7,Mandate,Verified
INV004336,2024-01-07,120842,Lumpsum,117691,West Bengal,Kolkata,T30,46-55,Female,35.0,Cheque,Verified
INV000339,2024-01-07,120843,Lumpsum,133844,Uttar Pradesh,Kanpur,B30,26-35,Male,22.3,Net Banking,Verified
INV003377,2024-01-07,148567,Lumpsum,275934,Uttar Pradesh,Agra,B30,36-45,Male,53.9,Net Banking,Verified
INV000308,2024-01-07,119095,Redemption,15648,West Bengal,Kolkata,T30,36-45,Male,52.4,UPI,Verified
INV000307,2024-01-07,149323,Lumpsum,81645,Telangana,Hyderabad,T30,18-25,Male,7.8,Mandate,Verified
INV004258,2024-01-07,119552,Redemption,57695,Gujarat,Ahmedabad,T30,36-45,Male,56.6,Cheque,Verified
INV003343,2024-01-07,119095,Redemption,96619,Telangana,Hyderabad,T30,36-45,Male,26.0,Mandate,Verified
INV004639,2024-01-07,101208,Redemption,396767,Rajasthan,Jaipur,T30,18-25,Female,6.0,Cheque,Verified
INV004349,2024-01-07,119092,Lumpsum,416883,Haryana,Gurugram,T30,26-35,Female,9.3,UPI,Verified
INV003341,2024-01-07,149322,Lumpsum,76277,Rajasthan,Jaipur,T30,26-35,Male,23.0,Cheque,Verified
INV002870,2024-01-07,125498,Lumpsum,423490,Karnataka,Mysore,B30,26-35,Female,23.7,Net Banking,Verified
INV000155,2024-01-07,120506,Redemption,230658,Madhya Pradesh,Bhopal,B30,26-35,Female,17.4,Net Banking,Verified
INV002834,2024-01-07,120841,Redemption,368938,West Bengal,Kolkata,T30,18-25,Male,6.9,Net Banking,Verified
INV004498,2024-01-07,119120,Redemption,253111,Punjab,Chandigarh,T30,26-35,Male,6.7,UPI,Verified
INV001447,2024-01-07,120841,Redemption,75406,Madhya Pradesh,Indore,T30,26-35,Female,14.6,Mandate,Verified
INV000032,2024-01-07,119120,Redemption,291165,Delhi,Noida,T30,36-45,Male,21.8,Cheque,Verified
INV000583,2024-01-07,119092,Redemption,344315,Punjab,Amritsar,B30,26-35,Male,8.7,Cheque,Verified
INV000540,2024-01-07,120843,Redemption,410824,Tamil Nadu,Coimbatore,B30,26-35,Female,10.4,Mandate,Verified
INV004576,2024-01-07,148569,Redemption,200234,Rajasthan,Jaipur,T30,46-55,Male,54.5,Net Banking,Verified
INV004088,2024-01-08,118636,Lumpsum,225281,Tamil Nadu,Chennai,T30,36-45,Male,26.8,UPI,Verified
INV001581,2024-01-08,100025,Lumpsum,194939,Madhya Pradesh,Indore,T30,18-25,Female,5.7,Net Banking,Verified
INV004493,2024-01-08,119599,Redemption,115716,Tamil Nadu,Chennai,T30,36-45,Male,19.3,UPI,Verified
INV002847,2024-01-08,120841,Redemption,255648,Haryana,Faridabad,B30,26-35,Male,13.4,Cheque,Verified
INV004714,2024-01-08,100033,Lumpsum,337687,Madhya Pradesh,Bhopal,B30,36-45,Male,31.3,Cheque,Verified
INV003294,2024-01-08,118634,Redemption,249450,Madhya Pradesh,Bhopal,B30,26-35,Female,11.1,Mandate,Verified
INV003232,2024-01-08,120842,Redemption,423309,Maharashtra,Pune,T30,36-45,Female,30.9,Net Banking,Verified
INV004647,2024-01-08,100025,Lumpsum,218815,Madhya Pradesh,Indore,T30,36-45,Female,25.3,Cheque,Verified
INV004226,2024-01-08,118633,Redemption,88746,Punjab,Chandigarh,T30,18-25,Male,3.9,Net Banking,Verified
INV000081,2024-01-08,119095,Lumpsum,283811,Gujarat,Surat,T30,36-45,Male,31.0,Mandate,Verified
INV000583,2024-01-08,120507,Lumpsum,278514,Punjab,Amritsar,B30,26-35,Male,8.7,Cheque,Verified
INV002679,2024-01-08,118636,Lumpsum,334718,Uttar Pradesh,Agra,B30,36-45,Male,33.8,Net Banking,Verified
INV003342,2024-01-08,119552,Redemption,189489,Tamil Nadu,Chennai,T30,56+,Male,32.8,UPI,Pending
INV000825,2024-01-08,125497,Lumpsum,342462,Madhya Pradesh,Bhopal,B30,18-25,Female,5.5,Cheque,Verified
INV000684,2024-01-08,120842,Redemption,117757,Rajasthan,Udaipur,B30,26-35,Male,10.4,UPI,Verified
INV001747,2024-01-08,101207,Lumpsum,394469,Madhya Pradesh,Indore,T30,18-25,Female,3.8,UPI,Verified
INV004285,2024-01-08,120843,Lumpsum,154122,Punjab,Chandigarh,T30,26-35,Male,8.0,UPI,Verified
INV003161,2024-01-08,119599,Lumpsum,341506,Uttar Pradesh,Kanpur,B30,36-45,Female,30.2,Net Banking,Verified
INV001111,2024-01-08,101206,Redemption,150718,Delhi,Gurugram,T30,18-25,Male,7.8,Net Banking,Verified
INV000567,2024-01-08,120843,Lumpsum,329312,Delhi,New Delhi,T30,26-35,Male,9.1,Cheque,Verified
INV003902,2024-01-08,118636,Redemption,357460,Karnataka,Mysore,B30,26-35,Male,23.1,Mandate,Verified
INV003136,2024-01-08,125497,Lumpsum,21407,Haryana,Gurugram,T30,56+,Male,34.4,Cheque,Verified
INV004833,2024-01-08,118635,Lumpsum,351348,Madhya Pradesh,Bhopal,B30,26-35,Female,16.5,Cheque,Verified
INV004983,2024-01-08,148569,Redemption,170231,Madhya Pradesh,Bhopal,B30,26-35,Male,20.6,Mandate,Verified
INV004887,2024-01-08,120503,Lumpsum,4541,Gujarat,Surat,T30,56+,Female,79.4,Mandate,Verified
INV004946,2024-01-08,120841,Redemption,186769,Gujarat,Surat,T30,26-35,Female,19.5,Net Banking,Verified
INV004609,2024-01-08,149322,Lumpsum,54390,Karnataka,Bangalore,T30,26-35,Female,10.3,UPI,Verified
INV003398,2024-01-08,149323,Lumpsum,325398,Karnataka,Bangalore,T30,36-45,Male,42.0,Cheque,Verified
INV004774,2024-01-08,120843,Lumpsum,357780,Tamil Nadu,Coimbatore,B30,36-45,Male,21.8,UPI,Verified
INV002951,2024-01-08,102886,Lumpsum,28656,Karnataka,Bangalore,T30,36-45,Male,58.6,Cheque,Verified
INV002523,2024-01-08,118634,Lumpsum,283929,Telangana,Hyderabad,T30,46-55,Female,57.2,Mandate,Verified
INV003133,2024-01-08,102886,Lumpsum,316291,West Bengal,Kolkata,T30,46-55,Male,72.8,Net Banking,Verified
INV000138,2024-01-09,119092,Lumpsum,183948,Telangana,Hyderabad,T30,26-35,Male,24.7,UPI,Verified
INV001105,2024-01-09,101206,Lumpsum,310210,West Bengal,Kolkata,T30,18-25,Female,3.4,UPI,Verified
INV000044,2024-01-09,125498,Lumpsum,308582,Karnataka,Mysore,B30,36-45,Male,34.9,Net Banking,Verified
INV004672,2024-01-09,102886,Lumpsum,443932,Rajasthan,Jaipur,T30,26-35,Male,23.9,Cheque,Pending
INV002030,2024-01-09,119552,Redemption,508939,Madhya Pradesh,Bhopal,B30,36-45,Male,31.7,Net Banking,Verified
INV000818,2024-01-09,101206,Redemption,317854,Telangana,Hyderabad,T30,56+,Female,62.5,UPI,Verified
INV002951,2024-01-09,120503,Lumpsum,243569,Karnataka,Bangalore,T30,36-45,Male,58.6,Cheque,Verified
INV002690,2024-01-09,100033,Redemption,240839,Karnataka,Mysore,B30,36-45,Male,58.0,Cheque,Verified
INV002958,2024-01-09,118636,Lumpsum,81990,Punjab,Amritsar,B30,26-35,Male,10.3,Mandate,Verified
INV004080,2024-01-09,119120,Lumpsum,242739,Punjab,Amritsar,B30,26-35,Female,18.7,Mandate,Verified
INV000630,2024-01-09,118634,Redemption,364446,Uttar Pradesh,Kanpur,B30,26-35,Male,18.9,Net Banking,Verified
INV001765,2024-01-09,120841,Lumpsum,97105,Uttar Pradesh,Kanpur,B30,46-55,Male,95.2,Cheque,Verified
INV000578,2024-01-09,101207,Lumpsum,115684,Maharashtra,Nashik,B30,26-35,Male,10.9,UPI,Verified
INV002520,2024-01-09,120503,Lumpsum,354499,Tamil Nadu,Chennai,T30,36-45,Male,48.9,Cheque,Verified
INV001410,2024-01-09,120507,Lumpsum,204366,Maharashtra,Mumbai,T30,46-55,Male,26.5,Net Banking,Verified
INV003815,2024-01-09,119598,Lumpsum,591598,Gujarat,Surat,T30,36-45,Male,38.7,UPI,Verified
INV001701,2024-01-09,102885,Redemption,49289,Karnataka,Mysore,B30,26-35,Female,24.4,Mandate,Verified
INV002950,2024-01-09,101208,Lumpsum,423091,Madhya Pradesh,Indore,T30,46-55,Female,37.4,UPI,Verified
